,Price (Tỷ),Area (m2),Price Per m2 (tr/m2),Location,In-Out
210,2.19,22.0,99.55,hoàn kiếm,Quận
211,3.75,38.0,98.68,đống đa,Quận
212,3.78,45.0,84.0,long biên,Quận
213,6.0,45.0,133.33,long biên,Quận
214,4.6,56.0,82.14,long biên,Quận
215,4.6,60.0,76.67,thanh xuân,Quận
216,6.5,60.0,108.33,thanh xuân,Quận
217,10.6,65.0,163.08,ba đình,Quận
218,2.95,34.0,86.76,hoàn kiếm,Quận
219,3.36,51.0,65.88,hoàn kiếm,Quận
220,4.55,52.0,87.5,hà đông,Quận
221,5.0,70.0,71.43,ba đình,Quận
222,5.6,41.0,136.59,nam từ liêm,Quận
223,4.0,41.0,97.56,hoàn kiếm,Quận
224,3.4,30.0,113.33,hoàn kiếm,Quận
225,4.7,40.0,117.5,đống đa,Quận
226,3.6,40.0,90.0,ba đình,Quận
227,3.8,37.0,102.7,đống đa,Quận
228,12.0,90.0,133.33,long biên,Quận
229,5.2,35.0,148.57,thanh trì,Huyện
230,9.39,48.0,195.63,hoàn kiếm,Quận
231,3.36,43.0,78.14,hoàn kiếm,Quận
232,2.5,31.0,80.65,hoàn kiếm,Quận
233,4.2,50.0,84.0,hà đông,Quận
234,4.3,45.0,95.56,hoàn kiếm,Quận
235,7.1,55.0,129.09,hoàn kiếm,Quận
236,3.35,35.0,95.71,đống đa,Quận
237,3.98,58.0,68.62,ba đình,Quận
238,4.55,40.0,113.75,hoàn kiếm,Quận
239,15.8,82.0,192.68,hoàn kiếm,Quận
240,3.8,70.0,54.29,hoàn kiếm,Quận
241,3.3,44.0,75.0,hoàn kiếm,Quận
242,4.6,50.0,92.0,hoàn kiếm,Quận
243,1.65,18.0,91.67,hoàn kiếm,Quận
244,7.8,92.0,84.78,đống đa,Quận
245,3.85,50.0,77.0,ba đình,Quận
246,4.3,46.0,93.48,ba đình,Quận
247,4.3,43.0,100.0,ba đình,Quận
248,7.7,36.0,213.89,hoàn kiếm,Quận
249,3.8,45.0,84.44,hoàn kiếm,Quận
250,2.65,23.0,115.22,đống đa,Quận
251,40.0,43.0,930.23,ba đình,Quận
252,6.1,50.0,122.0,hà đông,Quận
253,3.15,42.0,75.0,hoàn kiếm,Quận
254,3.75,40.0,93.75,hoàn kiếm,Quận
255,6.5,99.0,65.66,long biên,Quận
256,16.8,70.0,240.0,hoàn kiếm,Quận
257,11.5,50.0,230.0,ba đình,Quận
258,5.6,60.0,93.33,long biên,Quận
259,5.0,50.0,100.0,long biên,Quận
260,3.4,54.0,62.96,hoàn kiếm,Quận
261,3.7,50.0,74.0,hoàn kiếm,Quận
262,3.8,44.0,86.36,hoàn kiếm,Quận
263,5.0,38.0,131.58,ba đình,Quận
264,3.25,35.0,92.86,thanh xuân,Quận
265,3.35,39.0,85.9,hoàn kiếm,Quận
266,3.3,32.0,103.12,hoàn kiếm,Quận
267,2.8,38.0,73.68,hà đông,Quận
268,2.55,35.0,72.86,hà đông,Quận
269,2.55,35.0,72.86,thanh trì,Huyện
270,40.0,36.0,1111.11,đống đa,Quận
271,8.0,50.0,160.0,đống đa,Quận
272,3.6,28.0,128.57,hoàn kiếm,Quận
273,11.0,100.0,110.0,long biên,Quận
274,4.5,68.0,66.18,hoàn kiếm,Quận
275,3.95,55.0,71.82,hoàn kiếm,Quận
276,22.5,231.0,97.4,thanh xuân,Quận
