User_id,First_tran_date,Location,Age,Gender
56936175,2020/07/08,Ho Chi Minh,>37,MALE
49190867,2019/09/10,Other Cities,>37,MALE
23437920,2019/08/11,Other Cities,>37,MALE
41218163,2018/04/20,Other Cities,>37,MALE
20065800,2018/03/26,Ho Chi Minh,>37,FEMALE
59032240,2020/09/30,Other Cities,>37,FEMALE
3895427,2019/04/26,Ho Chi Minh,>37,MALE
30975412,2019/12/06,Ho Chi Minh,>37,FEMALE
49692677,2019/11/05,Ho Chi Minh,>37,FEMALE
26820772,2019/04/16,Ho Chi Minh,>37,MALE
38713794,2017/12/24,Ho Chi Minh,>37,MALE
40392165,2018/02/21,Ho Chi Minh,>37,FEMALE
36409106,2016/10/22,Ho Chi Minh,>37,MALE
48686477,2020/03/10,Other Cities,>37,FEMALE
14574545,2020/01/06,Other Cities,>37,FEMALE
23649479,2020/06/05,Other Cities,>37,FEMALE
40904977,2019/01/03,Ho Chi Minh,>37,MALE
32940013,2020/05/16,Other Cities,>37,FEMALE
42027036,2018/06/28,Ho Chi Minh,>37,FEMALE
50661360,2020/04/10,Ho Chi Minh,>37,FEMALE
47060415,2019/05/18,Other Cities,>37,MALE
49595657,2019/09/27,Unknown,>37,MALE
47173495,2019/06/13,Ho Chi Minh,>37,MALE
39720553,2019/09/09,Ho Chi Minh,>37,FEMALE
48095576,2019/07/11,Unknown,>37,MALE
44697693,2018/12/20,Other Cities,>37,FEMALE
41539090,2018/05/12,Ho Chi Minh,>37,MALE
39394639,2017/09/02,Ho Chi Minh,>37,MALE
51706161,2020/03/29,Other Cities,>37,MALE
46533763,2019/07/07,Ho Chi Minh,>37,MALE
3587442,2020/02/15,Other Cities,>37,FEMALE
46221489,2019/03/11,Ha Noi,>37,MALE
41763844,2019/08/01,Ho Chi Minh,>37,MALE
46375827,2019/03/27,Ho Chi Minh,>37,FEMALE
54486068,2020/03/16,Ho Chi Minh,>37,MALE
43411005,2018/12/18,Ho Chi Minh,>37,MALE
42527957,2018/07/20,Ho Chi Minh,>37,FEMALE
43950298,2018/10/29,Ho Chi Minh,>37,MALE
34752217,2018/04/08,Ha Noi,>37,FEMALE
4151091,2017/12/22,Ho Chi Minh,>37,FEMALE
44135297,2018/12/21,Ho Chi Minh,>37,MALE
33267981,2018/03/24,Ha Noi,>37,MALE
42493854,2018/09/09,Other Cities,>37,MALE
22280945,2019/07/13,Other Cities,>37,FEMALE
36134994,2016/09/29,Ho Chi Minh,>37,FEMALE
40079561,2017/10/05,Other Cities,>37,FEMALE
26044331,2020/04/23,Ha Noi,>37,FEMALE
49765497,2019/10/05,Other Cities,>37,MALE
49816940,2019/10/19,Other Cities,>37,MALE
35779375,2016/12/01,Other Cities,>37,MALE
54022532,2020/03/17,Ho Chi Minh,>37,FEMALE
50448254,2019/11/04,Ho Chi Minh,>37,FEMALE
39437251,2017/09/09,Other Cities,>37,MALE
13835216,2019/02/21,Ho Chi Minh,>37,MALE
36757550,2019/02/08,Ho Chi Minh,>37,MALE
33864425,2017/05/29,Ho Chi Minh,>37,FEMALE
